File Created
File Created
Incorrect Input
Drone 1:  26.08,  25.47,  0.13,  0.00
Drone 2:  26.08,  0.00,  0.00,  1.04
Drone 1:  26.61,  25.47,  0.13,  0.00
Drone 2:  26.61,  0.00,  0.00,  1.04
Drone 1:  27.12,  25.47,  0.13,  0.00
Drone 2:  27.12,  0.00,  0.00,  1.04
Drone 1:  27.64,  25.47,  0.13,  0.00
Drone 2:  27.64,  0.00,  0.00,  1.04
Landing ...
Incorrect Input
Drone 1:  28.15,  25.47,  0.13,  0.00
Drone 2:  28.15,  0.00,  0.00,  0.73
Drone 1:  28.56,  25.47,  0.13,  0.00
Drone 2:  28.56,  0.00,  0.00,  0.32
Drone 0 landed... Changing State to IDLE
 28.97,  25.47,  0.13,  0.00
 28.97,  0.00,  0.00,  0.00
